device_id,device_type,manufacturer,model,ward,ward_criticality,patient_impact,criticality,serial_number,purchase_date,last_maintenance,next_maintenance,network_segment,ip_address
D0001,Ventilator,Medtronic,VEN-792,ICU,1.5,LIFE_SUPPORT,High,ME81482,2020-10-14,2026-03-01,2026-05-15,CRITICAL_CARE,10.24.56.60
D0002,Ventilator,Getinge,VEN-716,ICU,1.5,LIFE_SUPPORT,High,GE13478,2024-04-23,2025-10-21,2026-08-23,CRITICAL_CARE,10.57.115.151
D0003,Ventilator,Draeger,VEN-928,EMERGENCY,1.3,LIFE_SUPPORT,High,DR10851,2021-12-14,2025-12-12,2026-07-18,CRITICAL_CARE,10.40.56.246
D0004,Ventilator,Draeger,VEN-204,EMERGENCY,1.3,LIFE_SUPPORT,High,DR22156,2023-02-12,2025-12-11,2026-07-14,CRITICAL_CARE,10.207.12.187
D0005,Ventilator,GE Healthcare,VEN-649,EMERGENCY,1.3,LIFE_SUPPORT,High,GE26361,2023-02-18,2025-12-24,2026-08-08,CRITICAL_CARE,10.148.50.181
D0006,Ventilator,Medtronic,VEN-146,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,ME96673,2021-05-03,2026-01-09,2026-06-02,CRITICAL_CARE,10.98.72.117
D0007,Ventilator,Draeger,VEN-266,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,DR58520,2022-04-22,2025-12-31,2026-05-26,CRITICAL_CARE,10.156.163.44
D0008,Ventilator,Getinge,VEN-846,NICU,1.5,LIFE_SUPPORT,High,GE42087,2021-08-13,2025-12-30,2026-09-27,CRITICAL_CARE,10.57.176.84
D0009,Ventilator,Medtronic,VEN-334,PEDIATRICS,1.2,LIFE_SUPPORT,High,ME14207,2022-07-09,2026-02-21,2026-07-01,CLINICAL,10.234.242.146
D0010,Infusion Pump,Baxter,INF-873,ICU,1.5,CRITICAL_CARE,High,BA16175,2020-03-21,2026-01-28,2026-08-24,CRITICAL_CARE,10.153.17.99
D0011,Infusion Pump,ICU Medical,INF-710,ICU,1.5,CRITICAL_CARE,High,IC71348,2024-05-18,2026-03-07,2026-06-06,CRITICAL_CARE,10.175.227.138
D0012,Infusion Pump,Smiths Medical,INF-887,ICU,1.5,CRITICAL_CARE,High,SM94012,2022-02-10,2025-11-18,2026-06-17,CRITICAL_CARE,10.117.1.245
D0013,Infusion Pump,Smiths Medical,INF-612,ICU,1.5,CRITICAL_CARE,High,SM33416,2024-02-28,2025-12-23,2026-09-14,CRITICAL_CARE,10.156.51.40
D0014,Infusion Pump,Smiths Medical,INF-880,ICU,1.5,CRITICAL_CARE,High,SM31174,2024-09-01,2025-12-17,2026-09-10,CRITICAL_CARE,10.5.29.238
