device,name,device_type,manufacturer,model,generic_name,ward,ward_criticality,patient_impact,criticality,network,ip,maintenance,static_risk,behaviour_risk,gnn_risk,xgb_risk,total_risk,clinical_urgency,fda_event_type,fda_report_date,fda_mdr_key
RCL0348,Recalled Device 348,Medfusion ASSEMBLY PLUNGER CAS,Smiths Medical ASD Inc.,Medfusion ASSEMBLY P,Medfusion ASSEMBLY PLUNGER CAS,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.75.34,2026-04-02,0.85,0.637,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0346,Recalled Device 346,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.183.150,2026-04-02,0.85,0.446,0.935,0.892,1.0,CRITICAL,RECALL,,
FDA0036,Infusion Pump 036,Infusion Pump,"Abiomed, Inc. - 1220648",IMPELLA 5.5 WITH SMA,TEMPORARY NON-ROLLER TYPE LEFT,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.170.178,2026-07-04,0.743,0.874,0.875,0.849,1.0,CRITICAL,Injury,20260227,24466165
RCL0345,Recalled Device 345,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.250.150,2026-04-02,0.85,0.498,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0340,Recalled Device 340,Symbiq One Channel Infuser; an,Hospira Inc.,Symbiq One Channel I,Symbiq One Channel Infuser; an,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.244.162,2026-04-02,0.85,0.43,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0343,Recalled Device 343,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.22.107,2026-04-02,0.85,0.497,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0344,Recalled Device 344,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.225.229,2026-04-02,0.85,0.516,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0341,Recalled Device 341,Symbiq Two Channel Infuser; an,Hospira Inc.,Symbiq Two Channel I,Symbiq Two Channel Infuser; an,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.208.189,2026-04-02,0.85,0.335,0.935,0.892,0.976,CRITICAL,RECALL,,
RCL0347,Recalled Device 347,"Medfusion PLUNGER FLOAT PLATE,",Smiths Medical ASD Inc.,Medfusion PLUNGER FL,"Medfusion PLUNGER FLOAT PLATE,",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.88.85,2026-04-02,0.85,0.322,0.935,0.892,0.972,CRITICAL,RECALL,,
FDA0012,Ventilator 012,Ventilator,"Respironics, Inc.",REMSTAR AUTOA-FLEX,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.123.248,2026-08-21,0.45,0.846,0.669,0.68,0.943,CRITICAL,Malfunction,20260227,24466109
